,name,full_name,language,description,private,url
0,.github,amzn/.github,,,False,https://api.github.com/repos/amzn/.github
1,ads-advanced-tools-docs,amzn/ads-advanced-tools-docs,,Code samples and supplements for the Amazon Ads advanced tools center,False,https://api.github.com/repos/amzn/ads-advanced-tools-docs
2,ads-pao-amznjs-gtm-template,amzn/ads-pao-amznjs-gtm-template,Smarty,,False,https://api.github.com/repos/amzn/ads-pao-amznjs-gtm-template
3,alexa-coho,amzn/alexa-coho,JavaScript,Sample code for building skill adapters for Alexa Connected Home using the Lighting API,False,https://api.github.com/repos/amzn/alexa-coho
4,alexa-skills-kit-js,amzn/alexa-skills-kit-js,, SDK and example code for building voice-enabled skills for the Amazon Echo. ,False,https://api.github.com/repos/amzn/alexa-skills-kit-js
5,amazon-ads-advertiser-audience-normalization-sdk-py,amzn/amazon-ads-advertiser-audience-normalization-sdk-py,Python,,False,https://api.github.com/repos/amzn/amazon-ads-advertiser-audience-normalization-sdk-py
6,amazon-advertising-api-php-sdk,amzn/amazon-advertising-api-php-sdk,PHP,⛔️ DEPRECATED - Amazon Advertising API PHP Client Library,False,https://api.github.com/repos/amzn/amazon-advertising-api-php-sdk
7,amazon-codeguru-profiler-for-spark,amzn/amazon-codeguru-profiler-for-spark,Java,A Spark plugin for CPU and memory profiling,False,https://api.github.com/repos/amzn/amazon-codeguru-profiler-for-spark
8,amazon-frustration-free-setup-certification-tool,amzn/amazon-frustration-free-setup-certification-tool,Python,Python-based automation scripts which can run device provisioning performance test,False,https://api.github.com/repos/amzn/amazon-frustration-free-setup-certification-tool
9,amazon-hub-counter-api-docs,amzn/amazon-hub-counter-api-docs,CSS,,False,https://api.github.com/repos/amzn/amazon-hub-counter-api-docs
10,amazon-hub-counter-api-samples,amzn/amazon-hub-counter-api-samples,Java,,False,https://api.github.com/repos/amzn/amazon-hub-counter-api-samples
11,amazon-hub-counter-sdk-java,amzn/amazon-hub-counter-sdk-java,Java,The Amazon Hub Counter SDK for Java enables Java developers to easily work with the Amazon Hub Counter API and manage Amazon pickup locations.,False,https://api.github.com/repos/amzn/amazon-hub-counter-sdk-java
12,amazon-hub-support,amzn/amazon-hub-support,PowerShell,,False,https://api.github.com/repos/amzn/amazon-hub-support
13,amazon-instant-access-sdk-java,amzn/amazon-instant-access-sdk-java,Java,Java SDK to aid in 3p integration with Instant Access ,False,https://api.github.com/repos/amzn/amazon-instant-access-sdk-java
14,amazon-instant-access-sdk-net,amzn/amazon-instant-access-sdk-net,C#,Amazon Instant Access .Net SDK,False,https://api.github.com/repos/amzn/amazon-instant-access-sdk-net
15,amazon-instant-access-sdk-php,amzn/amazon-instant-access-sdk-php,PHP,PHP SDK to aid in 3p integration with Instant Access ,False,https://api.github.com/repos/amzn/amazon-instant-access-sdk-php
16,amazon-instant-access-sdk-ruby,amzn/amazon-instant-access-sdk-ruby,Ruby,Ruby SDK to aid in third-party integration with Instant Access,False,https://api.github.com/repos/amzn/amazon-instant-access-sdk-ruby
17,amazon-launcher-integration-cordova-plugin,amzn/amazon-launcher-integration-cordova-plugin,JavaScript,"The Cordova plugin for Fire TV Launcher Integration makes it possible to integrate your HTML5 webapp with the Fire TV launcher. After integrating with the Fire TV Catalog, this plugin enables users to launch content in your app directly from search.",False,https://api.github.com/repos/amzn/amazon-launcher-integration-cordova-plugin
18,amazon-marketing-stream-examples,amzn/amazon-marketing-stream-examples,Python,Amazon Marketing Stream reference implementation using AWS CDK,False,https://api.github.com/repos/amzn/amazon-marketing-stream-examples
19,amazon-mcf-plugin-for-magento-1,amzn/amazon-mcf-plugin-for-magento-1,PHP,Plugin code to enable Amazon MCF in Magento 1.,False,https://api.github.com/repos/amzn/amazon-mcf-plugin-for-magento-1
20,amazon-multi-token-completion,amzn/amazon-multi-token-completion,Python,,False,https://api.github.com/repos/amzn/amazon-multi-token-completion
21,amazon-nearest-neighbor-through-ecc,amzn/amazon-nearest-neighbor-through-ecc,Jupyter Notebook,,False,https://api.github.com/repos/amzn/amazon-nearest-neighbor-through-ecc
22,amazon-pay-api-sdk-dotnet,amzn/amazon-pay-api-sdk-dotnet,C#,Amazon Pay API SDK (.NET),False,https://api.github.com/repos/amzn/amazon-pay-api-sdk-dotnet
23,amazon-pay-api-sdk-java,amzn/amazon-pay-api-sdk-java,Java,Amazon Pay API SDK (Java),False,https://api.github.com/repos/amzn/amazon-pay-api-sdk-java
24,amazon-pay-api-sdk-nodejs,amzn/amazon-pay-api-sdk-nodejs,JavaScript,Amazon Pay API SDK (Node.js),False,https://api.github.com/repos/amzn/amazon-pay-api-sdk-nodejs
25,amazon-pay-api-sdk-php,amzn/amazon-pay-api-sdk-php,PHP,Amazon Pay API SDK (PHP),False,https://api.github.com/repos/amzn/amazon-pay-api-sdk-php
26,amazon-pay-sdk-csharp,amzn/amazon-pay-sdk-csharp,C#,Amazon Pay C# SDK,False,https://api.github.com/repos/amzn/amazon-pay-sdk-csharp
27,amazon-pay-sdk-java,amzn/amazon-pay-sdk-java,Java, Amazon Pay Java SDK,False,https://api.github.com/repos/amzn/amazon-pay-sdk-java
28,amazon-pay-sdk-php,amzn/amazon-pay-sdk-php,PHP,Amazon Pay PHP SDK,False,https://api.github.com/repos/amzn/amazon-pay-sdk-php
29,amazon-pay-sdk-python,amzn/amazon-pay-sdk-python,Python,Amazon Pay Python SDK,False,https://api.github.com/repos/amzn/amazon-pay-sdk-python
30,amazon-pay-sdk-ruby,amzn/amazon-pay-sdk-ruby,Ruby,Amazon Pay Ruby SDK ,False,https://api.github.com/repos/amzn/amazon-pay-sdk-ruby
31,amazon-pay-sdk-samples,amzn/amazon-pay-sdk-samples,PHP,Amazon Pay SDK Sample Code,False,https://api.github.com/repos/amzn/amazon-pay-sdk-samples
32,amazon-payment-files-tools,amzn/amazon-payment-files-tools,Kotlin,Development kit designed to assist with the process of generating and validating proper dispute and remittance files.,False,https://api.github.com/repos/amzn/amazon-payment-files-tools
33,amazon-payments-magento-2-plugin,amzn/amazon-payments-magento-2-plugin,PHP,Extension to enable Amazon Pay on Magento 2,False,https://api.github.com/repos/amzn/amazon-payments-magento-2-plugin
34,amazon-ray,amzn/amazon-ray,Python,Staging area for ongoing enhancements to Ray focused on improving integration with AWS and other Amazon technologies.,False,https://api.github.com/repos/amzn/amazon-ray
35,amazon-s3-gst-plugin,amzn/amazon-s3-gst-plugin,C,A collection of Amazon S3 GStreamer elements.,False,https://api.github.com/repos/amzn/amazon-s3-gst-plugin
36,amazon-sidewalk-android-samples,amzn/amazon-sidewalk-android-samples,Kotlin,Sidewalk Mobile SDK is for mobile developers who want to build customized Sidewalk applications.,False,https://api.github.com/repos/amzn/amazon-sidewalk-android-samples
37,amazon-sidewalk-ios-samples,amzn/amazon-sidewalk-ios-samples,Swift,Sidewalk Mobile SDK is for mobile developers who want to build customized Sidewalk applications. ,False,https://api.github.com/repos/amzn/amazon-sidewalk-ios-samples
38,amazon-succinct-doc-representation,amzn/amazon-succinct-doc-representation,Python,,False,https://api.github.com/repos/amzn/amazon-succinct-doc-representation
39,amazon-template-library,amzn/amazon-template-library,C++,A collection of general purpose C++ utilities that play well with the Standard Library and Boost.,False,https://api.github.com/repos/amzn/amazon-template-library
40,amazon-weak-ner-needle,amzn/amazon-weak-ner-needle,Python,Named Entity Recognition with Small Strongly Labeled and Large Weakly Labeled Data,False,https://api.github.com/repos/amzn/amazon-weak-ner-needle
